raw_code,calibrated_voltage,is_active
171,1.3614457831325302,False
172,1.3734939759036144,True
173,1.385542168674699,True
174,1.3975903614457832,True
175,1.4096385542168675,True
176,1.4096385542168675,False
177,1.421686746987952,True
178,1.4337349397590362,True
179,1.4457831325301205,True
180,1.4457831325301205,False
181,1.457831325301205,True
182,1.4698795180722892,True
183,1.4698795180722892,False
184,1.4819277108433735,True
185,1.4819277108433735,False
186,1.493975903614458,True
187,1.493975903614458,False
188,1.5060240963855422,True
189,1.5180722891566265,True
190,1.5180722891566265,False
191,1.530120481927711,True
192,1.530120481927711,False
193,1.5421686746987953,True
194,1.5421686746987953,False
195,1.5542168674698795,True
196,1.566265060240964,True
197,1.5783132530120483,True
198,1.5783132530120483,False
199,1.5903614457831325,True
200,1.5903614457831325,False
201,1.602409638554217,True
202,1.602409638554217,False
203,1.6144578313253013,True
204,1.6144578313253013,False
205,1.6265060240963856,True
206,1.6265060240963856,False
207,1.63855421686747,True
208,1.6506024096385543,True
209,1.6626506024096386,True
210,1.6626506024096386,False
211,1.674698795180723,False
212,1.674698795180723,True
213,1.674698795180723,False
214,1.6867469879518073,True
215,1.6987951807228916,True
216,1.6987951807228916,False
217,1.710843373493976,True
218,1.7228915662650603,True
219,1.7349397590361446,True
220,1.746987951807229,True
221,1.746987951807229,False
222,1.7590361445783134,True
223,1.7710843373493976,True
224,1.7831325301204821,True
225,1.7831325301204821,False
226,1.7951807228915664,True
227,1.8072289156626506,True
228,1.8072289156626506,False
229,1.8192771084337351,False
230,1.8192771084337351,True
231,1.8192771084337351,False
232,1.8313253012048194,False
233,1.8313253012048194,True
234,1.8433734939759037,True
235,1.8554216867469882,True
236,1.8674698795180724,True
237,1.8795180722891567,True
238,1.8795180722891567,False
239,1.8915662650602412,False
240,1.8915662650602412,True
241,1.9036144578313254,True
242,1.9156626506024097,True
243,1.927710843373494,True
244,1.9397590361445785,True
245,1.9518072289156627,True
246,1.9518072289156627,False
247,1.963855421686747,True
248,1.9759036144578315,True
249,1.9879518072289157,True
250,1.9879518072289157,False
251,1.9879518072289157,False
252,1.9879518072289157,False
253,2.0,False
254,2.0,False
255,2.0,True
